team,opponent,format,ground,year,toss_result,selection,runs_scored,wickets_lost,fours_hit,sixes_hit,extra_runs,run_rate,avg_bat_strike_rate,highest_score,wickets_taken,extras_given,highest_individual_wickets,player_of_the_match,match_result,total_boundaries
Hong Kong,Pakistan,ODI,Dubai(DSC),01-01-2018,Win,Batting,116,10,10,1,4,3.12,40.6,27,2,4,2,Usman Shinwari,Lose,11
Pakistan,Hong Kong,ODI,Dubai(DSC),01-01-2018,Lose,Bowling,120,2,9,3,4,5.07,83.7,50,10,4,3,Usman Shinwari,Win,12
Afghanistan,Sri Lanka,ODI,Abu Dhabi,01-01-2018,Win,Batting,249,10,19,3,9,4.98,106.37,72,10,13,2,Rahmat Shah,Win,22
Sri Lanka,Afghanistan,ODI,Abu Dhabi,01-01-2018,Lose,Bowling,158,10,10,1,13,3.82,43.2,36,10,9,5,Rahmat Shah,Lose,11
Hong Kong,India,ODI,Dubai(DSC),01-01-2018,Win,Bowling,259,8,19,6,13,5.18,77.72,92,7,5,3,Shikhar Dhawan,Lose,25
India,Hong Kong,ODI,Dubai(DSC),01-01-2018,Lose,Batting,285,7,25,5,5,5.7,67.08,127,8,13,3,Shikhar Dhawan,Win,30
India,Pakistan,ODI,Dubai(DSC),01-01-2018,Lose,Bowling,164,2,17,5,4,5.65,92.42,52,10,7,3,Bhuvneshwar Kumar,Win,22
Pakistan,India,ODI,Dubai(DSC),01-01-2018,Win,Batting,162,10,10,2,7,3.75,45.54,47,2,4,1,Bhuvneshwar Kumar,Lose,12
Afghanistan,Bangladesh,ODI,Abu Dhabi,01-01-2018,Win,Batting,255,7,24,1,7,5.1,93.22,58,10,5,2,Rashid Khan,Win,25
Bangladesh,Afghanistan,ODI,Abu Dhabi,01-01-2018,Lose,Bowling,119,10,5,0,5,2.82,34.44,32,7,7,4,Rashid Khan,Lose,5
Bangladesh,India,ODI,Dubai(DSC),01-01-2018,Lose,Batting,173,10,11,4,3,3.51,56.81,42,3,4,1,Ravindra Jadeja,Lose,15
India,Bangladesh,ODI,Dubai(DSC),01-01-2018,Win,Bowling,174,3,13,4,4,4.78,66.77,83,10,3,4,Ravindra Jadeja,Win,17
Afghanistan,Pakistan,ODI,Abu Dhabi,01-01-2018,Win,Batting,257,6,16,5,5,5.14,92.35,97,7,17,3,Shoaib Malik,Lose,21
Pakistan,Afghanistan,ODI,Abu Dhabi,01-01-2018,Lose,Bowling,258,7,13,6,17,5.21,92.88,80,6,5,3,Shoaib Malik,Win,19
India,Pakistan,ODI,Dubai(DSC),01-01-2018,Lose,Bowling,238,1,24,6,1,6.02,91.31,114,7,8,2,Shikhar Dhawan,Win,30
Pakistan,India,ODI,Dubai(DSC),01-01-2018,Win,Batting,237,7,11,5,8,4.74,78.76,78,1,1,0,Shikhar Dhawan,Lose,16
Afghanistan,Bangladesh,ODI,Abu Dhabi,01-01-2018,Lose,Bowling,246,7,20,3,8,4.92,76.19,71,7,7,3,Mahmudullah,Lose,23
Bangladesh,Afghanistan,ODI,Abu Dhabi,01-01-2018,Win,Batting,249,7,15,3,7,4.98,72.28,74,7,8,2,Mahmudullah,Win,18
Afghanistan,India,ODI,Dubai(DSC),01-01-2018,Win,Batting,252,8,17,11,7,5.04,54.19,124,10,9,2,Mohammad Shahzad,No Result,28
India,Afghanistan,ODI,Dubai(DSC),01-01-2018,Lose,Bowling,252,10,17,5,9,5.05,71.67,60,8,7,3,Mohammad Shahzad,No Result,22
Bangladesh,Pakistan,ODI,Abu Dhabi,01-01-2018,Win,Batting,239,10,17,1,9,4.89,73.23,99,9,9,4,Mushfiqur Rahim,Win,18
Pakistan,Bangladesh,ODI,Abu Dhabi,01-01-2018,Lose,Bowling,202,9,10,2,9,4.04,60.59,83,10,9,4,Mushfiqur Rahim,Lose,12
Bangladesh,India,ODI,Dubai(DSC),01-01-2018,Lose,Batting,222,10,17,4,7,4.57,49.98,121,7,13,2,Litton Das,Lose,21
India,Bangladesh,ODI,Dubai(DSC),01-01-2018,Win,Bowling,223,7,13,6,13,4.46,73.33,48,10,7,3,Litton Das,Win,19
Afghanistan,Sri Lanka,T20I,Dubai(DSC),01-01-2022,Win,Bowling,106,2,10,5,12,10.42,142.44,40,10,6,3,Fazalhaq Farooqi,Win,15
Sri Lanka,Afghanistan,T20I,Dubai(DSC),01-01-2022,Lose,Batting,105,10,11,2,6,5.33,47.46,38,2,12,1,Fazalhaq Farooqi,Lose,13
India,Pakistan,T20I,Dubai(DSC),01-01-2022,Win,Bowling,148,5,10,5,14,7.52,97.77,35,10,5,4,Hardik Pandya,Win,15
Pakistan,India,T20I,Dubai(DSC),01-01-2022,Lose,Batting,147,10,13,4,5,7.41,114.67,43,5,14,3,Hardik Pandya,Lose,17
Afghanistan,Bangladesh,T20I,Sharjah,01-01-2022,Lose,Bowling,131,3,10,6,4,7.08,118.76,43,7,5,3,Mujeeb Ur Rahman,Win,16
Bangladesh,Afghanistan,T20I,Sharjah,01-01-2022,Win,Batting,127,7,10,1,5,6.35,87.75,48,3,4,1,Mujeeb Ur Rahman,Lose,11
Hong Kong,India,T20I,Dubai(DSC),01-01-2022,Win,Bowling,152,5,14,5,6,7.6,124.03,41,2,8,1,Suryakumar Yadav,Lose,19
India,Hong Kong,T20I,Dubai(DSC),01-01-2022,Lose,Batting,192,2,9,12,8,9.6,162.36,68,5,6,1,Suryakumar Yadav,Win,21
Bangladesh,Sri Lanka,T20I,Dubai(DSC),01-01-2022,Lose,Batting,183,7,15,6,10,9.15,135.4,39,8,17,3,Kusal Mendis,Lose,21
Sri Lanka,Bangladesh,T20I,Dubai(DSC),01-01-2022,Win,Bowling,184,8,14,6,17,9.51,123.04,60,7,10,2,Kusal Mendis,Win,20
Hong Kong,Pakistan,T20I,Sharjah,01-01-2022,Win,Bowling,38,10,2,0,10,3.56,35.31,8,2,18,2,Mohammad Rizwan,Lose,2
Pakistan,Hong Kong,T20I,Sharjah,01-01-2022,Lose,Batting,193,2,10,8,18,9.65,152.98,78,10,10,4,Mohammad Rizwan,Win,18
Afghanistan,Sri Lanka,T20I,Sharjah,01-01-2022,Lose,Batting,175,6,9,9,12,8.75,86.31,84,6,5,2,Rahmanullah Gurbaz,Lose,18
Sri Lanka,Afghanistan,T20I,Sharjah,01-01-2022,Win,Bowling,179,6,16,7,5,9.33,162.11,36,6,12,2,Rahmanullah Gurbaz,Win,23
India,Pakistan,T20I,Dubai(DSC),01-01-2022,Lose,Batting,181,7,16,5,14,9.05,151.54,60,5,8,1,Mohammad Nawaz,Lose,21
Pakistan,India,T20I,Dubai(DSC),01-01-2022,Win,Bowling,182,5,19,5,8,9.17,157.12,71,7,14,2,Mohammad Nawaz,Win,24
India,Sri Lanka,T20I,Dubai(DSC),01-01-2022,Lose,Batting,173,8,10,7,8,8.65,102.94,72,4,6,3,Dasun Shanaka,Lose,17
Sri Lanka,India,T20I,Dubai(DSC),01-01-2022,Win,Bowling,174,4,12,8,6,8.77,106.54,57,8,8,3,Dasun Shanaka,Win,20
Afghanistan,Pakistan,T20I,Sharjah,01-01-2022,Lose,Batting,129,6,10,5,3,6.45,93.31,35,9,5,3,Shadab Khan,Lose,15
Pakistan,Afghanistan,T20I,Sharjah,01-01-2022,Win,Bowling,131,9,6,8,5,6.77,102.52,36,6,3,2,Shadab Khan,Win,14
Afghanistan,India,T20I,Dubai(DSC),01-01-2022,Win,Bowling,111,8,9,3,3,5.55,51.25,64,2,2,2,Virat Kohli,Lose,12
India,Afghanistan,T20I,Dubai(DSC),01-01-2022,Lose,Batting,212,2,21,9,2,10.6,194.05,122,8,3,5,Virat Kohli,Win,30
Pakistan,Sri Lanka,T20I,Dubai(DSC),01-01-2022,Lose,Batting,121,10,4,3,17,6.31,58.78,30,5,5,2,Wanindu Hasaranga de Silva,Lose,7
Sri Lanka,Pakistan,T20I,Dubai(DSC),01-01-2022,Win,Bowling,124,5,9,5,5,7.29,111.5,55,10,17,3,Wanindu Hasaranga de Silva,Win,14
Pakistan,Sri Lanka,T20I,Dubai(DSC),01-01-2022,Win,Bowling,147,10,9,4,14,7.35,99.38,55,6,10,3,Bhanuka Rajapaksa,Lose,13
Sri Lanka,Pakistan,T20I,Dubai(DSC),01-01-2022,Lose,Batting,170,6,16,5,10,8.5,90.86,71,10,14,4,Bhanuka Rajapaksa,Win,21
